Ad name,CTR,CPM,Caption
Slynd_1,2.1,8.50,"Take control of your birth control journey with Slynd - the non-estrogen pill that puts you first"
Slynd_2,1.8,7.25,"Safe effective birth control delivered discreetly to your door. That's the Slynd difference"
Slynd_3,3.2,9.75,"Experience hormone-free peace of mind with Slynd's innovative formula"
Slynd_4,2.7,8.90,"No more pharmacy runs - get Slynd delivered right to your home"
Slynd_5,1.9,7.80,"Choose a birth control that works with your body not against it. Choose Slynd"
Slynd_6,2.4,8.25,"Embrace the freedom of estrogen-free birth control with Slynd"
Slynd_7,3.5,10.20,"Your body your choice. Discover the non-estrogen option that's changing lives"
Slynd_8,2.8,9.15,"Convenient home delivery meets reliable protection - that's the Slynd promise"
Slynd_9,2.2,8.40,"Take charge of your reproductive health with Slynd's proven safety profile"
Slynd_10,3.0,9.50,"Modern birth control for the modern woman - delivered to your doorstep"
Slynd_11,2.5,8.75,"Feel empowered with Slynd's estrogen-free formula"
Slynd_12,1.7,7.60,"Skip the pharmacy line - get Slynd delivered directly to you"
Slynd_13,2.9,9.25,"Safe effective and convenient: Experience the Slynd difference"
Slynd_14,2.3,8.30,"Your journey to better birth control starts with Slynd"
Slynd_15,3.1,9.80,"Embrace a new chapter in birth control with Slynd's innovative approach"
Slynd_16,2.6,8.95,"Reliable protection meets home delivery convenience"
Slynd_17,2.0,7.90,"Choose confidence. Choose convenience. Choose Slynd"
Slynd_18,3.3,10.10,"Experience the freedom of non-estrogen birth control delivered to your door"
Slynd_19,2.4,8.60,"Safe effective birth control that fits your lifestyle"
Slynd_20,3.4,9.90,"Join thousands of women who trust Slynd for their birth control needs"
